bryo_taxa_id,klasse,familie,gattung,art,autor,unterart,autor_unterart,name_de,name_en,rl2004
1215,Laubmoose,Dicranaceae,Dicranum,flexicaule,Brid.,,,Verbogenstieliges Gabelzahnmoos,,DD
1212,Laubmoose,Dicranaceae,Dicranum,fulvum,Hook.,,,Braungelbes Gabelzahnmoos,,LC
1217,Laubmoose,Dicranaceae,Dicranum,fuscescens,Sm.,,,Braunes Gabelzahnmoos,,DD
1219,Laubmoose,Dicranaceae,Dicranum,majus,Sm.,,,Grosses Gabelzahnmoos,Greater Fork-moss,LC
1220,Laubmoose,Dicranaceae,Dicranum,montanum,Hedw.,,,Berg-Gabelzahnmoos,Mountain Fork-moss,LC
1222,Laubmoose,Dicranaceae,Dicranum,muehlenbeckii,Bruch & Schimp.,,,Weissfilziges Gabelzahnmoos,,DD
1225,Laubmoose,Dicranaceae,Dicranum,polysetum,Sw. ex anon.,,,Wellblättriges Gabelzahnmoos,Rugose Fork-moss,LC
1228,Laubmoose,Dicranaceae,Dicranum,scoparium,Hedw.,,,Besen-Gabelzahnmoos,Broom Fork-moss,LC
2691,Laubmoose,Dicranaceae,Dicranum,spadiceum,J.E.Zetterst.,,,Kastanienbraunes Gabelzahnmoos,,DD
1234,Laubmoose,Dicranaceae,Dicranum,spurium,Hedw.,,,Unechtes Gabelzahnmoos,Rusty Fork-moss,VU
1235,Laubmoose,Dicranaceae,Dicranum,tauricum,Sapjegin,,,Steifblättriges Gabelzahnmoos,Fragile Fork-moss,LC
2699,Laubmoose,Dicranaceae,Dicranum,transsylvanicum,Lüth,,,Siebenbürgisches Gabelzahnmoos,,DD
1239,Laubmoose,Dicranaceae,Dicranum,undulatum,Brid.,,,Moor-Gabelzahnmoos,Waved Fork-moss,NT
1240,Laubmoose,Dicranaceae,Dicranum,viride,(Sull. & Lesq.) Lindb.,,,Grünes Gabelzahnmoos,,LC
619,Laubmoose,Pottiaceae,Didymodon,acutus,(Brid.) K.Saito,,,Spitzblättriges Doppelzahnmoos,Pointed Beard-moss,LC
629,Laubmoose,Pottiaceae,Didymodon,asperifolius,(Mitt.) H.A.Crum & al.,,,Raublättriges Doppelzahnmoos,,VU
638,Laubmoose,Pottiaceae,Didymodon,cordatus,Jur.,,,Herzblättriges Doppelzahnmoos,,VU
654,Laubmoose,Pottiaceae,Didymodon,fallax,(Hedw.) R.H.Zander,,,Täuschendes Doppelzahnmoos,False Beard-moss,LC
668,Laubmoose,Pottiaceae,Didymodon,ferrugineus,(Besch.) M.O.Hill,,,Zurückgekrümmtes Doppelzahnmoos,Rusty Beard-moss,LC
656,Laubmoose,Pottiaceae,Didymodon,giganteus,(Funck) Jur.,,,Riesen-Doppelzahnmoos,,LC
678,Laubmoose,Pottiaceae,Didymodon,glaucus,Ryan,,,Blaugrünes Doppelzahnmoos,,VU
626,Laubmoose,Pottiaceae,Didymodon,icmadophilus,(Müll.Hal.) K.Saito,,,Gebirgs-Doppelzahnmoos,,VU
699,Laubmoose,Pottiaceae,Didymodon,insulanus,(De Not.) M.O.Hill,,,Insel-Doppelzahnmoos,Cylindric Beard-moss,VU
2701,Laubmoose,Pottiaceae,Didymodon,johansenii,(R.S.Williams) H.A.Crum,,,Johansen-Doppelzahnmoos,,VU
661,Laubmoose,Pottiaceae,Didymodon,luridus,Spreng.,,,Bräunliches Doppelzahnmoos,Dusky Beard-moss,LC
672,Laubmoose,Pottiaceae,Didymodon,rigidulus,Hedw.,,,Steifes Doppelzahnmoos,Rigid Beard-moss,LC
684,Laubmoose,Pottiaceae,Didymodon,sinuosus,(Mitt.) Delogne,,,Buchtiges Doppelzahnmoos,Wavy Beard-moss,VU
687,Laubmoose,Pottiaceae,Didymodon,spadiceus,(Mitt.) Limpr.,,,Scheiden-Doppelzahnmoos,Brown Beard-moss,LC
2702,Laubmoose,Pottiaceae,Didymodon,subandreaeoides,(Kindb.) R.H.Zander,,,Klaffmoosartiges Doppelzahnmoos,,VU
691,Laubmoose,Pottiaceae,Didymodon,tophaceus,(Brid.) Lisa,,,Tuff-Doppelzahnmoos,Olive Beard-moss,NT
680,Laubmoose,Pottiaceae,Didymodon,verbanus,(W.E.Nicholson & Dixon) Loeske,,,Lago Maggiore-Doppelzahnmoos,,VU
696,Laubmoose,Pottiaceae,Didymodon,vinealis,(Brid.) R.H.Zander,,,Weinberg-Doppelzahnmoos,Soft-tufted Beard-moss,CR
1173,Laubmoose,Dicranaceae,Diobelonella,palustris,(Dicks.) Ochyra,,,Sparriges Kleingabelzahnmoos,,LC
1242,Laubmoose,Diphysciaceae,Diphyscium,foliosum,(Hedw.) D.Mohr,,,Blasenmoos,Nut-moss,LC
138,Lebermoose,Scapaniaceae,Diplophyllum,albicans,(L.) Dumort.,,,Hellstreifiges Doppelblattmoos,White Earwort,LC
139,Lebermoose,Scapaniaceae,Diplophyllum,obtusifolium,(Hook.) Dumort.,,,Stumpflappiges Doppelblattmoos,Blunt-leaved Earwort,LC
140,Lebermoose,Scapaniaceae,Diplophyllum,taxifolium,(Wahlenb.) Dumort.,,,Gebirgs-Doppelblattmoos,,LC
1244,Laubmoose,Ditrichaceae,Distichium,capillaceum,(Hedw.) Bruch & Schimp.,,,Berg-Zweizeilmoos,Fine Distichium,LC
1246,Laubmoose,Ditrichaceae,Distichium,inclinatum,(Hedw.) Bruch & Schimp.,,,Geneigtfrüchtiges Zweizeilmoos,Inclined Distichium,LC
1247,Laubmoose,Daltoniaceae,Distichophyllum,carinatum,Dixon & W.E.Nicholson,,,Gekieltes Zweizeilblattmoos,,RE
1248,Laubmoose,Ditrichaceae,Ditrichum,flexicaule,(Schwägr.) Hampe,,,Verbogenstieliges Doppelhaarmoos,Bendy Ditrichum,LC
2704,Laubmoose,Ditrichaceae,Ditrichum,gracile,(Mitt.) Kuntze,,,Schlankes Doppelhaarmoos,,NE
1249,Laubmoose,Ditrichaceae,Ditrichum,heteromallum,(Hedw.) E.Britton,,,Einseitswendiges Doppelhaarmoos,Curve-leaved Ditrichum,LC
1251,Laubmoose,Ditrichaceae,Ditrichum,lineare,(Sw.) Lindb.,,,Scheidiges Doppelhaarmoos,Dark Ditrichum,VU
1253,Laubmoose,Ditrichaceae,Ditrichum,pallidum,(Hedw.) Hampe,,,Blasses Doppelhaarmoos,,EN
1254,Laubmoose,Ditrichaceae,Ditrichum,pusillum,(Hedw.) Hampe,,,Gedrehtzähniges Doppelhaarmoos,Brown Ditrichum,EN
1257,Laubmoose,Ditrichaceae,Ditrichum,zonatum,(Brid.) Kindb.,,,Streifiges Doppelhaarmoos,Alpine Ditrichum,NT
1259,Laubmoose,Amblystegiaceae,Drepanocladus,aduncus,(Hedw.) Warnst.,,,Krallenblatt-Sichelmoos,Knieff's Hook-moss,LC
1273,Laubmoose,Amblystegiaceae,Drepanocladus,lycopodioides,(Brid.) Warnst.,,,Bärlapp-Sichelmoos,Large Hook-moss,VU
1032,Laubmoose,Amblystegiaceae,Drepanocladus,polygamus,(Schimp.) Hedenäs,,,Vielblütiges Goldschlafmoos,Fertile Feather-moss,EN
1280,Laubmoose,Amblystegiaceae,Drepanocladus,sendtneri,(H.Müll.) Warnst.,,,Dickwandiges Sichelmoos,,CR
2683,Laubmoose,Amblystegiaceae,Drepanocladus,sordidus,(Müll.Hal.) Hedenäs,,,Schmutziges Sichelmoos,,DD
1018,Laubmoose,Amblystegiaceae,Drepanocladus,trifarius,(F.Weber & D.Mohr) Paris,,,Dreizeiliges Schönmoos,Three-ranked Spear-moss,NT
2180,Laubmoose,Amblystegiaceae,Drepanocladus,turgescens,(T.Jensen) Broth.,,,Geschwollenes Skorpionsmoos,,CR
1291,Laubmoose,Encalyptaceae,Encalypta,affinis,R.Hedw. ,subsp. affinis,,Prächtiges Glockenhutmoos,,CR
1292,Laubmoose,Encalyptaceae,Encalypta,affinis,,subsp. macounii,(Austin) D.G.Horton,Prächtiges Glockenhutmoos,,DD
1289,Laubmoose,Encalyptaceae,Encalypta,affinis,R.Hedw.,,,Prächtiges Glockenhutmoos,,NE
1293,Laubmoose,Encalyptaceae,Encalypta,alpina,Sm.,,,Alpen-Glockenhutmoos,Alpine Extinguisher-moss,LC
1295,Laubmoose,Encalyptaceae,Encalypta,ciliata,Hedw.,,,Wimpern-Glockenhutmoos,Fringed Extinguisher-moss,LC
1296,Laubmoose,Encalyptaceae,Encalypta,longicolla,Bruch,,,Langhalsiges Glockenhutmoos,,CR
1297,Laubmoose,Encalyptaceae,Encalypta,microstoma,Bals.-Criv. & De Not.,,,Kleinmündiges Glockenhutmoos,,LC
1300,Laubmoose,Encalyptaceae,Encalypta,rhaptocarpa,Schwägr.,,,Streifenfrüchtiges Glockenhutmoos,,LC
1301,Laubmoose,Encalyptaceae,Encalypta,spathulata,Müll.Hal.,,,Spatelblättriges Glockenhutmoos,,DD
1303,Laubmoose,Encalyptaceae,Encalypta,streptocarpa,Hedw.,,,Gedrehtfrüchtiges Glockenhutmoos,Spiral Extinguisher-moss,LC
1305,Laubmoose,Encalyptaceae,Encalypta,vulgaris,Hedw.,,,Gemeines Glockenhutmoos,Common Extinguisher-moss,LC
180,Lebermoose,Jungermanniaceae,Endogemma,caespiticia,(Lindenb.) Konstant., Vilnet & A.V. Troitsky ,,,Rasiges Jungermannmoos,,VU
1308,Laubmoose,Entodontaceae,Entodon,cladorrhizans,(Hedw.) Müll.Hal.,,,Bewurzeltes Zwischenzahnmoos,,RE
1312,Laubmoose,Entodontaceae,Entodon,concinnus,(De Not.) Paris,,,Gelbstengelmoos,Montagne's Cylinder-moss,LC
1309,Laubmoose,Entodontaceae,Entodon,schleicheri,(Schimp.) Demet.,,,Schleichers Zwischenzahnmoos,,VU
1316,Laubmoose,Pottiaceae,Ephemerum,cohaerens,(Hedw.) Hampe,,,Rasiges Tagmoos,,CR
1317,Laubmoose,Pottiaceae,Ephemerum,minutissimum,Lindb.,,,Schleiersporiges Tagmoos,,LC
1319,Laubmoose,Pottiaceae,Ephemerum,recurvifolium,(Dicks.) Boulay,,,Krummblättriges Tagmoos,Strap-leaved Earth-moss,CR
1321,Laubmoose,Pottiaceae,Ephemerum,serratum,(Hedw.) Hampe,,,Gesägtes Tagmoos,Serrated Earth-moss,VU
